epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,9082.39,0.64101,0.36147,0.89505,0.90435,0.89559,0.9521,0.79988,0.62155,0.38729,0.87679,6.88328e-05,6.88328e-05,6.88328e-05
78,9200.62,0.64135,0.36145,0.89679,0.90478,0.90027,0.95384,0.80371,0.62839,0.38889,0.87788,6.60806e-05,6.60806e-05,6.60806e-05
79,9319.08,0.63589,0.3631,0.89517,0.89295,0.91741,0.95668,0.80735,0.62618,0.38719,0.87459,6.33284e-05,6.33284e-05,6.33284e-05
80,9437.32,0.63519,0.35634,0.89219,0.87845,0.93133,0.9516,0.80346,0.62569,0.38671,0.8794,6.05762e-05,6.05762e-05,6.05762e-05
81,9555.84,0.63137,0.35871,0.89458,0.907,0.90449,0.95639,0.80352,0.62355,0.38478,0.8779,5.7824e-05,5.7824e-05,5.7824e-05
82,9675.38,0.62106,0.35627,0.88718,0.88211,0.92224,0.9484,0.7992,0.62069,0.38309,0.87436,5.50718e-05,5.50718e-05,5.50718e-05
83,9792.77,0.6195,0.35135,0.88779,0.89416,0.9064,0.95178,0.80237,0.61993,0.37885,0.87615,5.23196e-05,5.23196e-05,5.23196e-05
84,9909.53,0.62469,0.34763,0.88966,0.88218,0.91782,0.94564,0.79804,0.623,0.3873,0.87658,4.95674e-05,4.95674e-05,4.95674e-05
85,10025.5,0.61739,0.34796,0.89329,0.89251,0.91241,0.95184,0.80493,0.62397,0.38875,0.87757,4.68152e-05,4.68152e-05,4.68152e-05
86,10142.5,0.61438,0.34229,0.88673,0.91983,0.89282,0.95591,0.80752,0.61958,0.37549,0.87476,4.4063e-05,4.4063e-05,4.4063e-05
87,10260.9,0.61096,0.34553,0.88492,0.90815,0.89323,0.95239,0.79817,0.62702,0.37429,0.8776,4.13108e-05,4.13108e-05,4.13108e-05
88,10378.7,0.6007,0.33712,0.88154,0.86578,0.9456,0.95452,0.80501,0.62541,0.37407,0.87673,3.85586e-05,3.85586e-05,3.85586e-05
89,10496.8,0.59935,0.33743,0.88053,0.92163,0.89033,0.95608,0.8088,0.6268,0.37756,0.87513,3.58064e-05,3.58064e-05,3.58064e-05
90,10615.3,0.60146,0.33606,0.88048,0.91641,0.88639,0.95416,0.80288,0.62717,0.38124,0.87612,3.30542e-05,3.30542e-05,3.30542e-05
91,10731.7,0.63912,0.30391,0.89069,0.89921,0.90134,0.94744,0.79385,0.63418,0.38655,0.88125,3.0302e-05,3.0302e-05,3.0302e-05
92,10845.7,0.62462,0.29624,0.88077,0.92339,0.87967,0.94846,0.79489,0.6306,0.38214,0.87995,2.75498e-05,2.75498e-05,2.75498e-05
93,10959.8,0.61399,0.29662,0.88446,0.91425,0.89211,0.94577,0.79263,0.63108,0.38035,0.88043,2.47976e-05,2.47976e-05,2.47976e-05
94,11073.6,0.6075,0.29201,0.87869,0.9322,0.87746,0.94776,0.79786,0.63151,0.37702,0.87981,2.20454e-05,2.20454e-05,2.20454e-05
95,11189,0.59901,0.29007,0.87872,0.89386,0.91285,0.94775,0.79883,0.63029,0.3786,0.87958,1.92932e-05,1.92932e-05,1.92932e-05
96,11303.9,0.59612,0.28835,0.87523,0.88982,0.91843,0.94778,0.80111,0.63086,0.37619,0.87911,1.6541e-05,1.6541e-05,1.6541e-05
97,11419.8,0.58916,0.28698,0.87382,0.92699,0.87715,0.94738,0.79374,0.63399,0.37975,0.8812,1.37888e-05,1.37888e-05,1.37888e-05
98,11536.4,0.58906,0.28337,0.87463,0.92763,0.8763,0.94674,0.7971,0.63223,0.37798,0.88087,1.10366e-05,1.10366e-05,1.10366e-05
99,11652.5,0.5873,0.28628,0.87016,0.9315,0.87535,0.94564,0.7957,0.633,0.38077,0.88158,8.2844e-06,8.2844e-06,8.2844e-06
100,11767.2,0.58383,0.28502,0.87078,0.93049,0.8767,0.94473,0.79336,0.63444,0.37925,0.88284,5.5322e-06,5.5322e-06,5.5322e-06
